The meat here is horrible and the horchata is nasty taste like dirty sink water. I do not recommend this Filibertos.,,,,
The best And most authentic Udipi restaurant I haven been to. Authentic light good portions and lightly priced. Amazing. A must stop for anyone driving past especially on the highway.,,,Value,
Food tasted great but one of the pieces of chicken had a bite taken out of it so... 4 stars,,,,
Great prices and good selection of flavors. Thisnis a good local ice cream place tontake the kids or grab a quick treat.,Service,,Value,
Was in Litchfield Park for a conference and found this gem of a restaurant after stopping by Walgreens across the street. Definitely good value for the money and fast service too. I tried the spicy tuna bowl and a side of a cucumber roll. Way better than any other fast food restaurant food. I only wish they would come to LA (along with Culvers),Service,,Value,
Had a limited availability item a Wagyu cut. Perfection in any sense. Service was excellent. Sides of garlic mashed garlic Mac and cheese and creamed corn where great. Topped it off with a Jack Daniels Single Barrel.,Service,,,
An awesome store to check out if you are in the Downtown location. The store perfectly embodies the old fashion candy store vibe they are trying to convey and the selection of candies and sodas is incredible unique. Some of the candies they have there are things that I have certainly forgotten about over the years and some of the soda flavors are things I would never even think to see!,,Ambience,,Location
Love the ice cream. And the cookie ice cream sandwiches are so good! I love that the cookies are still soft! Always had great service as well.,Service,,,
Fresh homemade food and friendly service! The green chile quiche was tasty and had a punch of heat to it! The side of Greek salad was also fresh and tasty! I plan to return!,Service,,,
Great little spot. As far as fast food burritos go this place is pretty danm good. Its no chipotle but i always feel that i have received good value for my money.\n\nThe ingredients are fresh and their service is quick.,Service,,Value,
Nice clean restaurant very compact need to wait if you come at the peak hour. Food is tasty but not too much special.,,,,
IMO probably the best BBQ pork in Toronto! I work in the building and love going there for lunch to get BBQ pork on rice (comes with some Bok Choy too) for about $6. U also have option to get it with noodles and soup instead of rice.,,,Value,
I got a large take out order for a party and the food as well as the service was very good. Prices are ok too.,Service,,Value,
I went here with my girl who wanted Italian. The ambience was good until the meal came. We both ordered fish dishes. Hers was the Sea Bass was ok until a few bites in and it was raw. Then loud rock music blaring from the kitchen. I like this music but not when I wanted a nice romantic dinner. I was then over charged by almost 100.00 with no corrected receipt just a name and a promise. I hope my money has been returned. We will never go back to this sketchy so called Italian restaurant.!!,,Ambience,,
A food burger is always a good thing!!! Great flavor & fast service. \n\nDrinks: no issues.\nFood: fast and served hot\nService: it was busy but our server always checked on us.,Service,,,
Super good service. Fresh salad. Broccolini was cooked perfectly. I ordered iced tea and they had simple syrup.,Service,,,
It was a nice summer evening when we dined at this place. This restaurant is in a interesting locale. Perfect place to sit outside and watch the pedestrian traffic in the distillery district. \nAs for the food nothing to write home about.\nBouillabaisse was very bland and tasted more like a cold fish broth. \nWe ordered sticky toffee pudding for dessert and were quite disappointed. \nBread was good and the Oysters were the only saving grace for the meal.,,Ambience,,Location
This place needs help!! 25 mins for an appetizer that never came because we had to leave.. its 90* and no ac ..menu was way to hard to figure out.. after 5 mins with waitress who seemed just as confussed.. waited so long for our order that we wrote it down ..,Service,,,
I have had butter chicken vegetable biriyani and chaana masala. The food is delicious and flavourful here. I have ordered many times here and it has always been good. I highly recommend this place.,,,,
Really enjoyed my scramble buckwheat crepe and pancake. Had to persevere to get a table around 2 on a Saturday as the host initially turned away my friend but it was worth it. Service was solid until the end when a busser tossed the rest of my friends bowl which he intended to take away but maybe he should have been more clear. All in all a good experience.,Service,,,
Best Pud Thai I have had in Charlotte!! So delicious I cannot stand when my Pud Thai is overly sweet and peanutty if you like that kind of Pud Thai this one is not for you. It was absolutely delicious and the perfect balance of sweet and tangy.,,,,
Got some gift cards from a friend first time at an outback had the porterhouse and filet and lobster tail lobster tail was the highlight steaks were pretty decent the filet was over cooked porterhouse was on point our food was really good just nothing extra ordinary would return if I get some more gift cards,,,,
We stopped in at General Assembly because it was across the street from our hotel but we are glad we gave it a try. The decor is hip and the menu plays to foodies and people who eat clean.\n\nThey offer a variety of pizzas that are the perfect size for one or enough for two if you each order salads. We split the mushroom pizza and I had the kale salad while my fianc\xc3\xa9 had the arugula apple salad. We enjoyed all of it. General Assembly also had a wide selection of beers sodas and wines.,,Ambience,,
Please check out Youtube video for prices and choices: https://www.youtube.com/watch?v=7JLeIAGnpXA\nThere is always line up and it took me 20 minutes on a Sunday afternoon. But the ice cream and egg waffle really taste good and i love the flavours that they have.,,,,
Still great homemade Thai food after the years I have been coming here. Best pad si ew with chicken and pad ki mao with fried tofu. Well worth a visit if you have never been. Enjoy drooling over the pics :-),,,,
A hidden gem in North Town! Love the hand made tacos. Carne fries are a MUST! Great prices!,,,Value,
Great food! I love all the veggies in the food especially the fried rice! Always fast delivery and reasonable prices. This is our go to Chinese food restaurant.,Service,,Value,
Service was slow.. Sushi was OK nothing great. Sashimi was so thin it tore when you picked it up. I would not go back!,Service,,,
Waited an hour and a half for our main.\nDont dont go here for winterlicious\nHorrible experience,Service,,,
You started off so well....\nI thought we could start a relationship out of this but I guess not.\nWeb ordering my marketplace turkey sandwich I clearly asked for no tomatoes. The girl behind the intercom even repeated this back to me. But of course what happens? I get my sandwich and on it are three red tomatoes slices.\nI know I sound like a brat. I simply took the tomatoes off but its the principle and quite simple to follow.,Service,,,
One of 3 Cherry Berry locations I have been to in the Charlotte Area. The place server the same great yogurt that the other locations do but it just has the smallest selection at 10 as the other locations have 12 or 14 individual selections. I would recommend to anyone looking for a good cheap dessert.,,,Value,
At the encouragement of the management we gave Red Robin another try. Much better this time. It was a busy Sunday afternoon so it took quite a while for our order. But when it came the food was hot and tasty. And our server was really great at keeping u updated on the status of the order. Overall wife and I had a good experience. Glad we gave it another shot.,Service,,,
If you have a craving for fish and chips this is the go-to place. The fish is freshly battered and fried on order. We had the halibut and chips... the flavor and freshness were excellent. The chips are freshly cut and fried on premises. Unbeatable flavor. Give it a try!!!!,,,,
Today we tried this location for the first time. We ordered two of the fajitas for two. My husband and I shared one n my kids shared the other. It was way more food than we could eat. Very pleased with the portions of food for our money. The food was delicious. The service was great. This will be our new go to for Mexican food close to home. We will definitely be coming back. Thank you for a great lunch and a great dining experience. Thumbs up!,Service,Ambience,Value,
excellent prices food and service. I have both ordered delivery and pick up both were satisfyingly swift and successful. I will definitely continue to order personally as well as refer to all of my friends,Service,,Value,
Pretentious coffee without the pretense. This place has all the artisanal coffee offerings of a hipster cafe but the chill attitude of a starbucks. Appreciate being able to walk in and get a good of joe without feeling judged for taking a minute to look at the menu.,,Ambience,,
Awesome! Stopped in based on reviews and was not disappointed.\nThe street tacos were great; my husband had the El Jefe burrito - all freshly prepared and delicious. The perfect ending was the made to order Churros!,,,,
Nice interiorbut the food is really not authenticand the food quality is not steady alsowill come back for drinks but not food,,Ambience,,
Great little restaurant with family style mexican food. Their chips and salsa are always good and they are quick to refill it. The service is great but gets a little hectic around normal lunch hours M-F so I try to go earlier or later.\n\nI recommend their chimichanga and their carnitas plate. Very good portions too enough where you can probably share.\n\nI think the food is way better here than overpriced places like Agave.,Service,,Value,
Food was way over cooked and quite bland. The white pizza we ordered might as well have been cardboard.,,,,
This place is amazing! We had a little surprise party of 8 and had just the best service! The queso appetizer fontina and bottomless rice and beans for the table was a hit! These puffy tacos were amazing both the chicken tinga and the spicy beef. \nThe lomo sampler platter was amazing too great flavors! For preggo moms ask for their agua fresca delish!,Service,,,
By far the best fro-yo in the valley...maybe ever All of the flavors are made in-house and the difference is amazing! The staff is very friendly and down to earth. Always a must go when family and friends visit from out of town!,Service,,,
Just went to this small restaurant for the first time today It will certainly not be my last visit I may adjust star rating after further trips. The food was excellent as was the portion size. Very attentive staff. A large selection of Asian beers with more to follow I am told.\nPricing was fair. If you like Asian food and curry you will not be disappointed.,Service,,Value,
"My girlfriend and I ate here today for lunch. We didn\'t know it was a ""cash"" only establishment but the guy who waited on us was very nice. He took our order and by the time we got back from Giant Eagle with cash our subs were done. They were very good and the price was great for the amount of food. I had the Italian sub and my girlfriend had the Philly cheese steak. I loved the sub rolls and the fries were delicious. I would definitely come back and try a new sub!",Service,,,
Been coming here for years. Love the food relaxed and enjoyable environment. Great local place to chill and unwind.,,Ambience,,
This place is great and not too expensive. Las Vegas rolls are awesome. Had to grab a couple to go on the way home tonight.,,,Value,
Overall very good food and service. Some of the dishes were a bit Asian tasting (chili paneer and ginger chicken) but food was fresh tasty and came out quick on a busy night. \nDefinitely a keeper for that area.,Service,,,
I was here at lunch time on a weekday. I was the only customer in the store and I had made it clear I was in a hurry. Despite this the man making the food moved extremely slowly and took more than 15 minutes to make my food. He would pause at times to argue with his co-worker. It was a very frustrating experience.,Service,,,
The restaurant is cute and the menu is original. The place was really busy but the service was quick short food wait time and the service was friendly. Expect it to be loud since a lot of people enjoy eating there as much as we did. Great place to visit for yummy breakfast!,Service,Ambience,,
"Ate here 2 times on my recent trip to LV.\n\nChicken sandwich on a yummy bun and french fries....YUM!\nService was good colleague got the onion rings (YUMMY).\n\nWent back another night to order food to go-\nSwiss cheeseburger on an onion roll (wow it was good)\nFrench fries (crispy and delicous).\n\nWhile I was waiting I had a most delicious drink ""French Riviera"". It was yummy! So I had another. Very nice!",,,,
A place i like to take the kids if we need to satisfy our sweet tooth without feeling too guilty. Just went recently and they have changed up the flavors which i was excited for. Inside you can also get fudge and chocolate from the rocky Mountain chocolate company.,,,,
I have had ramen before. Never ever has it impressed me like the ramen I ate at Kyouka Ramen. I totally understand why tv chefs pursue the ultimate ramen experience. Kyouka has taken ramen to a level I never have experienced. Recommend the Kyouka Ramen (spicy).,,,,
BETTER THAN CHIPOTLE!! They have a greater variety of proteins. They have local brews. They have King of Pops. And they have delicious queso!,,,,
